commit	D_geomean	status	description
9431478	38.90	keep	apr10 baseline single-boss (n_envs=8, steps=8192, lr=5e-4, ent=0.01, clip=0.2, iters=4)
b323ace	70.06	keep	apr10 steps 8192->4096 single-boss
e541a97	81.61	keep	apr10 steps 4096->2048 single-boss (winner)
# --- apr11 phase A exp1-7 discarded: all regressed from fullknight_500 on 4-boss pool, root cause not in KL gating; starting fresh from-scratch baselines below ---
4ad6c06	9.45	keep	apr11 baseline A scratch 20m seed42 4boss old per-batch KL halt (pct_trained 55.2%, FK 16.27 Moss 7.16 Gruz 11.18 Hornet 7.10, dmg 0.193 hits 0.011, ent -2.29, 193 ep)
630d724	8.20	discard	apr11 baseline B scratch epoch-mean-at-end-of-iter halt (pct_trained 83.8%, D worse than A despite 52%+ data: FK 10.39 Moss 6.06 Gruz 12.92 Hornet 5.96, dmg 0.084, ent -2.99, 186 ep)
cb4694c	8.35	discard	apr11 baseline C scratch mid-iter running-mean halt 2mb-warmup (pct_trained 60.5%, FK 13.32 Moss 6.47 Gruz 11.77 Hornet 5.81, dmg 0.134, ent -2.78, 188 ep; between A and B)
054e8dc	7.42	discard	apr11 baseline D scratch train_iters=1 target_kl=0 (pct_trained 100.0% but only 8 updates/ep; WORST: FK 8.80 Moss 5.67 Gruz 11.03 Hornet 5.88 => 1 iter too few, undershoots gradient; optimum ~2 iters)
acdcd63	10.07	keep	apr11 baseline E scratch train_iters=2 target_kl=0 NEW BEST (+6.6% vs A; FK 15.00 Moss 7.99 Gruz 12.59 Hornet 7.65, wins on 3/4 bosses, dmg 0.167 hits 0.012 ent -2.67 kl 0.013, 195 ep; deterministic 2 iters, simpler than A)
bb3c01c	9.75	keep	apr11 baseline F scratch train_iters=3 target_kl=0 (FK 16.43 best, Moss 9.17 best, Gruz 9.67 outlier drags geomean, Hornet 7.77, dmg 0.193 BEST curr_rew 0.0077 BEST; tied with E within noise, 2-3 iters is flat plateau)
4b5273d	13.11	keep	apr11 baseline G scratch n_envs 8->16 (+30% vs E, +49% throughput 138->207 samp/s; 242 ep, FK 26.92 Moss 8.95 Gruz 13.39 Hornet 10.25 wins all 4 bosses)
185a1ce	12.98	keep	apr11 baseline I post-merge amortized-resets on G config (+68% throughput 207->347 samp/s, 407 ep vs 242; D within noise, ent BETTER -2.44, validates reset amortization)
